그룹명,멤버
브레이브걸스," 민영, 유정, 은지, 유나 "
아리밴드," 아리(리드보컬), 진아(기타), 지혜(베이스), 리쥬(드럼) "
JYJ," 재중, 유천, 준수 "
할리퀸," 김태환(베이스), 송재경(키보드), 김상엽(드럼), 권태욱(보컬), 표건수(기타) "
엔플라잉 ," 이승협(리더, 랩, 보컬, 기타, 피아노), 차훈(기타), 김재현(드럼), 유회승(보컬), 서동성(베이스) "
New Edition," 랄프 트레스반트(Ralph Tresvant), 릭키 벨(Ricky Bell), 마이클 비빈스(Michael Bivins), 로니 데보(Ronnie DeVoe), 바비 브라운(Bobby Brown), 조니 길(Johnny Gill) "
써드코스트," 권성민(프로듀스, 작곡), 한소현(보컬, 작곡, 작사), 최지호(랩, 작사) "
미스에스," 강민희, 제이스 "
Kalafina," 히카루, 와카나, 케이코 "
비아이지 ," 제이훈, 건민, 희도, 진석 "
브라운 아이드 소울," 나얼(보컬), 영준(보컬), 성훈(보컬), 정엽(보컬, 리더) "
보이스원," 장혜진, 먼데이 키즈, 시몬 "
W&Whale," 배영준, 한재원, 김상훈, 웨일 "
더히든," 지노, 성현 "
소울라이츠," 정은선(보컬), 정재훈(베이스), 김두현(드럼), 손창학(건반) "
가비엔제이," 제니, 건지, 서린 "
Vanilla Lucy," 혜라(첼로), 소라(색소폰), 은화(보컬), 지연(바이올린) "
새소년," 황소윤(보컬, 기타), 유수(드럼), 박현진(베이스) "
LPG," 지원, 송하, 지은 "
쥬얼리," 하주연(랩), 박세미, 김예원 "
문빈&산하," 문빈, 윤산하 "
45RPM," 이현배, 박재진 "
담소네공방," 박연(보컬), 김담소(피아노) "
노을," 강균성(보컬), 전우성(보컬), 이상곤(보컬), 나성호(보컬) "
로켓펀치," 다현, 쥬리, 윤경, 연희, 소희, 수윤 "
아이오아이 ," 전소미, 김세정, 최유정, 김청하, 김소혜, 주결경, 정채연, 김도연, 강미나, 임나영, 유연정 "
BNR," 마스터키, 허인창 "
R.ef," 박철우(랩퍼), 이성욱(보컬), 성대현(랩퍼) "
FT트리플," 이재진(보컬, 기타), 최민환(드럼) "
에이프릴 세컨드," 김경희(보컬), 문대광(기타), 문우건(베이스), 박맑음(드럼) "
노라조," 조빈, 원흠 "
PRETTYMUCH ," 오스틴 포터, 브랜든 아레아가, 에드윈 아너렛, 닉 마라, 자이언 쿠워누 "
Flumpool," 야마무라 류타(Yamamura Ryuta, 보컬), 사카이 카즈키(Sakai Kazuki, 기타), 아마카와 겡키(Amakawa Genki, 베이스), 오구라 세이지(Ogura seiji, 드럼) "
티아라 N4," 은정, 효민, 지연, 다니 "
노브레인," 정우용(베이스), 이성우(보컬), 정민준(기타), 황현성(드럼) "
타이니지," 도희(보컬), 제이민(리드보컬), 민트(랩, 안무) "
M시그널," 견우, 전근화 "
Icona Pop," Caroline Hjelt, Aino Jawo "
