그룹명,멤버
몽실이 시스터즈," 강진아, 김민선, 서미정 "
빅스타," 필독(리더, 보컬, 랩, 안무), 바람(랩, 안무), 주드(보컬, 랩), 성학(보컬, 랩) "
HONNE," 앤디, 제임스 "
버즈," 김예준(리더, 드럼), 윤우현(기타), 신준기(베이스), 손성희(기타), 민경훈(보컬) "
블랙리스트," 치타, 루시 "
써니힐," 빛나, 코타, 은주, 건희 "
월러스," 김재욱(보컬, 기타), 김태현(드럼), 유승범(기타), 양시온(베이스) "
Paramore," 헤일리 윌리엄스(Hayley Williams, 보컬), 테일러 요크(Taylor York, 기타), 잭 파로(Zac Farro, 드럼) "
경서예지," 경서, 예지 "
A Great Big World," 이안 악셀(Ian Axel), 차드 바카리노(Chad Vaccarino) "
The Killers," 데이브 큐닝(Dave Keuning, 기타), 마크 스토머(Mark Stoermer, 베이스), 로니 배누치 주니어(Ronnie Vannucci Jr, 드럼), 브랜든 플라워스(Brandon Flowers, 보컬) "
레인보우 블랙," 김재경, 오승아, 조현영, 고우리 "
Yolanda Be Cool," 실베스터 마르티네즈(Sylvester Martinez), 존슨 피터슨(Johnson Peterson) "
AOA," 유나(보컬, 키보드), 혜정(보컬), 설현(보컬), 찬미(랩) "
펜타곤," 진호, 후이, 홍석, 신원, 여원, 옌안, 유토, 키노, 우석 "
9와 숫자들," 송재경(보컬), 유정목(기타), 꿀버섯(베이스), BOY.D(드럼) "
더 맨 블랙 ," 강태우, 고우진, 신정유, 윤준원, 천승호, 최찬이 "
Macklemore & Ryan Lewis,"맥클모어, 라이언 루이스"
PRISTIN ," 나영(리더), 로아, 경원, 은우, 레나, 결경, 예하나, 성연, 박시연, 카일라 "
하모닉스," 낙서, 홀케 "
이달의 소녀 yyxy," 이브, 츄, 고원, 올리비아 혜 "
가을로 가는 기차," 지현, 수빈, 아영, 소미 "
Train," 패트릭 모나한(Patrick Monahan, 보컬), 지미 스태포드(Jimmy Stafford, 기타), 스콧 언더우드(Scott Underwood, 드럼) "
소심한 오빠들," 박필규(보컬, 기타), 영덕(보컬, 퍼커션) "
소울트레인," 곽경묵(기타), 임윤정(보컬), 이정학(드럼), 윤희나(건반), 김신(트럼본), 김성민(트럼펫), 조성현(색소폰), 이원재(베이스) "
5 Seconds of Summer," 루크 헤밍스(Luke Hemmings), 마이클 클리포드(Micheal Clifford), 캘럼 후드(Calum Hood), 애쉬튼 어윈(Ashton Irwin) "
15& ," 박지민, 백예린 "
타이푼," 솔비(보컬), 우재(보컬), 송원섭(트럼본), 지환(랩) "
더 씨야," 송민경, 오연경, 성유진, 허영주 "
Evanescence," 트로이 맥로혼(기타), 팀 맥코드(베이스), 윌 헌트(드럼), 에이미 리(보컬, 피아노), 테리 발사모(기타) "
Lukas Graham," 루카스 그레이엄(Lukas Graham, 보컬), 마크 팔그렌(Mark Falgren, 드럼), 매그너스 라슨(Magnus Larsson, 베이스) "
온앤오프 ," 효진, 이션, 제이어스, 와이엇, MK, 유 "
부가킹즈," 바비 킴(리더, 랩, 보컬), 주비트레인(랩), Gan-D(랩) "
원 모어 찬스 ," 정지찬, 박원 "
보이프렌드," 동현(리더), 현성, 정민, 영민, 광민, 민우 "
2F ," 신용재, 김원주 "
시크릿," 정하나(랩, 안무), 전효성(리더, 보컬, 안무) "
파리돼지앵 ," 정재형, 정형돈 "
소란 ," 이태욱(기타), 고영배(보컬), 서면호(베이스), 편유일(드럼) "
Maroon 5," 애덤 리바인(Adam Levine, 보컬, 기타), 제임스 발렌타인(James Valentine, 기타), 제스 카마이클(Jesse Carmichael, 키보드), 미키 매든(Mickey Madden, 베이스), 맷 플린(Matt Flynn, 드럼), 피제이 모턴(PJ Morton, 키보드), 샘 패러(Sam Farrar, 멀티 악기) "
LANY," 폴 제이슨 클라인(Paul Jason Klein, 리드 보컬, 기타), 레스 프리스트(Les Priest, 키보드, 기타, 보컬), 제이크 클리포드 고스(Jake Clifford Goss, 드럼) "
IZ*ONE ," 권은비, 미야와키 사쿠라, 강혜원, 최예나, 이채연, 김채원, 김민주, 야부키 나코, 혼다 히토미, 조유리, 안유진, 장원영 "
언프리티 랩스타 3, 하주연 
The Lonely Island," 앤디 샘버그(Andy Samberg, 보컬), 아키바 쉐퍼(Akiva Schaffer, 보컬), 요르마 타코니(Jorma Taccone, 보컬) "
CRAVITY," 세림, 앨런, 정모, 우빈, 원진, 민희, 형준, 태영, 성민 "
The Wanted," 톰 파커(Tom Parker), 맥스 조지(Max George), 시바 카네스와란(Siva Kaneswaran), 제이 맥기네스(Jay McGuiness), 네이슨 사익스(Nathan Sykes) "
M4," 김원준, 이세준, 배기성, 최재훈 "
세븐틴," 에스쿱스(리더), 정한, 조슈아, 준, 호시, 원우, 우지, 디에잇, 민규, 도겸, 승관, 버논, 디노 "
초콜릿 노트," 유송연, 강현진, 임가원 "
UV," 유세윤, 뮤지 "
Chemistry," 도우친 요시쿠니(堂珍嘉邦), 카와바타 카나메(川畑要) "
My Chemical Romance," 제라드 웨이(Gerard Way, 보컬), 프랭크 아이에로(Frank Iero, 기타), 마이키 웨이(Mikey Way, 베이스), 레이 토로(Ray Toro, 기타) "
Scandal," 하루나(HARUNA, 보컬, 기타), 마미(MAMI, 기타, 보컬), 토모미(TOMOMI, 베이스, 보컬), 리나(RINA , 드럼, 보컬) "
쏜애플 ," 윤성현(보컬, 기타), 심재현(베이스), 방요셉(드럼), 홍동균(기타) "
NEVER YOUNG BEACH,"Abe Yuuma, Matsushima Kou, Anan Satoshi, Tatsumi Keigo, Suzuki Kento"
