우디,대충 입고 나와,[]
정미애,라밤바,[]
NCT 127,Highway to Heaven,"['pure orgasm', 'best of 2019']"
빈센트블루,비가와,[]
사이로(415),야광별,[]
Nulbarich,NEW ERA,[]
美波,ライラック,"['japanese', 'rock', 'J-rock', 'j-pop']"
あいみょん,貴方解剖純愛歌 ~死ね~,[]
정승환,네가 온다,[]
아스트로,숨바꼭질,"['Korean', 'k-pop', 'Kpop', 'Korea']"
러블리즈,Close To You,[]
산들,날씨 좋은 날,[]
우주소녀,Boogie Up,"['k-pop', 'Kpop', 'Cosmic Girls', 'WJSN', 'pop']"
잔나비,JUNGLE,[]
청하,벌써 12시,"['best of 2019', 'love at first listen', 'hino', 'cant even express how much i love this song', 'lovely mv']"
치즈,우린 어디에나,[]
잔나비,주저하는 연인들을 위해,[]
Alan Walker,Alone,"['EDM', 'electronic', 'dance', 'House', 'norwegian']"
CLC,ME,"['k-pop', 'Kpop', 'trap', 'pop', 'dance']"
EXO-CBX,Shake,['hinoooooooooooooooo']
염따,zoom,[]
잔나비,봉춤을 추네,[]
히키,사랑에 연습이 있었다면 (답가),[]
태진아,자기가 좋아,[]
김양,흥부자,[]
프로미스나인,FUN!,[]
김재환,그렇게 널,[]
치즈,Orange,[]
황인욱,포장마차,[]
전소미,BIRTHDAY,[]
Lil Dicky,Earth,"['pop', 'cringe', 'Hip-Hop', 'USA', 'american']"
유노윤호,Follow,[]
틴탑,Run Away,[]
Aimer,ポラリス,"['female vocalists', 'j-pop', 'japanese', 'JPop']"
디에이드,상상,[]
잔나비,DOLMARO,[]
보아,Mayday! Mayday! (너에게 닿기를 간절히 외치다),"['k-pop', 'Ballad', 'Korean', 'BoA', 'Kpop']"
김나희,송인,[]
정다경,열두 줄,[]
조곤,오래된 노트,[]
김소유,십분 내로,[]
Charlie Puth,Left Right Left,['pop']
태연,Time Lapse,"['k-pop', 'best of 2017', 'Korean', 'Kpop', 'pop']"
김나희,벤치,[]
폴킴,사랑은 타이밍,[]
플리지,예뻐서 그래,[]
김양,잡초,[]
태연,Circus,"['soul', 'rnb', 'Ballad']"
Billie Eilish,when the party's over,"['pop', 'Ballad', '2010s', 'indie pop', 'alternative']"
공소원,뜨거운 안녕,[]
지원이,보릿고개,[]
정다경,가슴 아프게,[]
카더가든,우리의 밤을 외워요,[]
청하,Snapping,['best of 2019']
邓丽君,再见我的爱人,[]
청하,Chica,[]
The Chainsmokers,Kills You Slowly,"['pop', 'dance', 'eletronic', 'EDM']"
허영생,Moment,[]
장범준,노래방에서,[]
정미애,장녹수,[]
이하이,LOVE IS OVER,"['soul', 'k-pop', 'female vocalist', 'love at first listen', 'Kpop']"
피엘,MALIBU,[]
윤종신,Shuffling,[]
(여자)아이들,Uh-Oh,[]
정다경,약손,['Trot']
팔로알토,Get It,[]
Katy Perry,Never Really Over,"['pop', 'pop perfection', 'electropop', '2019', 'katy perry']"
Ava Max,Sweet but Psycho,"['pop', 'generic', 'electropop', '2010s', '2018']"
데이브레이크,우리 안녕이 자연스러워서,[]
SEVENTEEN,Happy Ending,[]
염따,sold out,[]
김나영,시들어가,[]
태연,Candy Cane,"['christmas', 'Korean', 'k-pop', 'holiday']"
Taylor Swift,You Need To Calm Down,"['pop', 'taylor swift', 'synthpop', '2019', '2010s']"
그_냥,퇴근길,[]
러블리즈,LOVE GAME,[]
에일리,Room Shaker,['k-pop']
ITZY(있지),달라달라,[]
장범준,당신과는 천천히,[]
윤하,비가 내리는 날에는,[]
BTOB,아름답고도 아프구나,[]
달지,잔소리,[]
나훈아,인생 소풍,[]
艾辰,落,[]
刀郎,西海情歌,[]
Justin Bieber,Flatline,"['pop', 'love at first listen', 'Iloveit', 'Amazing song', 'bonus track']"
Gallant,Weight In Gold,"['american', 'rnb', 'fallon', '2015', 'BIRP']"
Rita Ora,Your song,"['pop', 'british', 'party', 'not a cover', '2017']"
박재정,다시 태어날 수 있다면,[]
갓츄,U GOT IT,[]
청하,우리가 즐거워,[]
블랙핑크,Kill This Love,[]
ELLEGARDEN,Lonesome,"['J-rock', 'japanese', 'great lyrics', 'lonesome', 'Ellegarden']"
감스트,기다릴게,[]
김재환,디자이너(Designer),[]
레드벨벳,LP,[]
美波,ホロネス,[]
지진석,Good Night,[]
주호,불러봐도,[]
하성운,BLUE,[]
DPR CREAM,Color Drive,[]
NCT DREAM,GO,"['Kpop', 'NCT', 'nct dream', 'pop', 'k-pop']"
모네,가져가,[]
멜로망스,인사,[]
폴킴,헤어질 걸 알아,[]
防弾少年団,Let Go,[]
신혜성,나의 너에게,[]
이현,니가 있어 (BTS WORLD OST),[]
베리베리,딱 잘라서 말해 (From Now),[]
윤하,사계,[]
청하,Call It Love,[]
양다일,My Love,[]
맴맴,Super Special Girl,['song yuvin']
데이식스,한 페이지가 될 수 있게,[]
Rita Ora,Anywhere,"['pop', 'electronic', 'hino', 'british', 'electropop']"
윤하,Lonely,[]
Ariana Grande,NASA,"['pop', 'rnb', 'female vocalists', 'seen live', 'american']"
서은광(BTOB),그때 그날처럼,[]
비비(BIBI),나비,[]
이우,내 안부,[]
하성운,저기요,[]
염따,yaya freestyle,[]
Panic! At The Disco,High Hopes,"['alternative', 'indie', 'indie rock', 'pop', 'pop rock']"
Halsey,Nightmare,"['pop', 'rock', 'alternative', 'pop rock', 'punk']"
사이로(415),Take me there,[]
이수,recommend,[]
호피폴라,Wake Me Up,[]
지아,니가 길게 혼자면 좋겠어,[]
박재정,사랑한 만큼,[]
IZ*ONE,Buenos Aires,"['a bop no one asked ur opinion', 'bop', 'real jpop', 'not kpop in japanese', 'te te te te que bien']"
데이식스,For me,[]
모네,idc,[]
홍대광,너로 완벽한 순간,[]
가비엔제이,다시 만나자,[]
호피폴라,Hoppipolla,[]
Dan+Shay,Speechless,[]
송이한,안녕이라는 말,[]
은지원,HOW WE DO,[]
CIX,Movie Star,"['sex', 'k-pop', 'Pops In Seoul']"
LANY&Julia Michaels,Okay,"['pop', 'synth pop']"
Lauv,Sad Forever,"['indie pop', 'sad', 'Free Tibet', 'hairy chest', 'hunks']"
박정현,같이,[]
미교,계속 노래하고 싶어요,[]
펜타곤,봄눈,[]
루시,선잠,[]
루시,Cry Bird,[]
김소유,미련일랑,[]
10cm,Jenga,[]
데이식스,How To Love,[]
태용,Long Flight,[]
호피폴라,One More Light,[]
Lil Nas X,Panini,"['trap', 'rap', 'pop rap', 'trap rap', '2019']"
LIP×LIP,やっぱ最強!,[]
쏜애플,너의 무리,[]
강다니엘,Color,[]
5 Seconds Of Summer,Easier,"['pop', 'alternative rock', 'australian', 'bop', 'male vocalists']"
강다니엘,I Hope,[]
윤종신,늦바람,[]
ITZY(있지),ICY,[]
防弾少年団,Lights,[]
ヨルシカ,だから僕は音楽を辞めた,"['rock', 'japanese', 'J-rock', 'j-pop']"
세븐틴,HIT,"['pop', 'dance', 'korean music', 'best of 2019', 'electronic']"
공원소녀,RED-SUN(021),[]
온리원오브,time leap,[]
주호,우리가 우리가 될 수 있을까,[]
张小九,余香,[]
陈泫孝(大泫),静悄悄,[]
비와이,가라사대,[]
브로맨스,내게 기대어도 돼,[]
다비치,너에게 못했던 내 마지막 말은,[]
10cm,방에 모기가 있어 (Do You Think Of Me?),[]
JBJ95,불꽃처럼,[]
